epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99083,1.20406,3.15863,1.42778,0.00133,0.5,0.15316,0.08505,1.64786,4.62867,1.57173,0,0,0
2,5.22448,0.91971,3.05946,1.24651,0.00133,0.5,0.28321,0.10369,1.65371,4.608,1.56673,1.63399e-05,1.63399e-05,1.63399e-05
3,7.68906,0.98492,3.14607,1.29821,0.00135,0.5,0.28083,0.14481,1.58031,4.43598,1.4782,3.20197e-05,3.20197e-05,3.20197e-05
4,10.0267,0.96478,2.93847,1.30173,0.00137,0.5,0.16221,0.08264,1.39664,4.36186,1.42595,4.70394e-05,4.70394e-05,4.70394e-05
5,12.3121,0.80712,2.9743,1.15549,0.00136,0.5,0.31893,0.18178,1.34735,4.29517,1.40897,6.13989e-05,6.13989e-05,6.13989e-05
6,14.6074,0.64209,2.65908,1.08278,0.00138,0.5,0.31893,0.23929,1.2349,4.28529,1.34119,7.50984e-05,7.50984e-05,7.50984e-05
7,17.0845,0.7626,2.65746,1.1689,0.00141,0.5,0.31,0.26339,1.21198,4.24197,1.31918,8.81376e-05,8.81376e-05,8.81376e-05
8,19.4644,0.62335,2.61078,1.067,0.00142,0.5,0.31893,0.26566,1.36248,4.28647,1.33919,0.000100517,0.000100517,0.000100517
9,21.497,0.9017,2.48009,1.22357,0.00149,0.5,0.31893,0.25909,1.39838,4.28193,1.36275,0.000112236,0.000112236,0.000112236
10,24.134,0.77436,2.17849,1.07416,0.00156,0.5,0.33083,0.2704,1.45921,4.3096,1.36872,0.000123295,0.000123295,0.000123295
11,26.3354,0.69013,2.09107,1.0505,0.00161,0.5,0.33083,0.26542,1.62632,4.28027,1.45192,0.000133693,0.000133693,0.000133693
12,29.2049,0.66249,1.77865,1.04891,0.00169,0.5,0.31893,0.25893,1.69386,4.20971,1.48044,0.000143432,0.000143432,0.000143432
13,32.5655,0.82685,1.79342,1.05843,0.00183,0.5,0.31893,0.2692,1.68489,4.20067,1.46585,0.00015251,0.00015251,0.00015251
14,35.8558,0.75561,1.5659,1.0809,0.00182,0.5,0.3475,0.30526,1.74837,4.17774,1.49233,0.000160929,0.000160929,0.000160929
15,40.3952,0.61289,1.40988,1.02477,0.00186,0.5,0.3725,0.3252,1.70868,4.0942,1.49253,0.000168687,0.000168687,0.000168687
16,42.9987,0.60337,1.44334,1.00622,0.00185,0.5,0.4975,0.37696,1.69583,4.07113,1.51025,0.000175785,0.000175785,0.000175785
17,45.994,0.64374,1.24506,1.0406,0.0019,0.5,0.4975,0.40755,1.78132,4.12394,1.61644,0.000182223,0.000182223,0.000182223
18,48.5375,0.83304,1.46328,1.10434,0.0019,0.5,0.4975,0.40755,1.78132,4.12394,1.61644,0.000188001,0.000188001,0.000188001
19,50.8171,0.6199,1.17037,1.04043,0.00186,0.5,0.4975,0.37734,1.83664,4.15008,1.64724,0.000193119,0.000193119,0.000193119
20,52.9944,0.68449,1.27928,1.07743,0.00186,0.5,0.4975,0.37734,1.83664,4.15008,1.64724,0.000197576,0.000197576,0.000197576
21,55.2629,0.74976,1.31064,1.19842,0.0018,0.5,0.4975,0.3109,1.91871,4.18848,1.68812,0.000201374,0.000201374,0.000201374
22,57.6768,0.71709,1.29031,1.04509,0.0018,0.5,0.4975,0.3109,1.91871,4.18848,1.68812,0.000204511,0.000204511,0.000204511
23,60.02,0.69482,1.10329,0.97418,0.0018,0.5,0.4975,0.2761,2.14442,4.22572,1.79875,0.000206988,0.000206988,0.000206988
24,62.3385,0.7985,1.37393,1.05879,0.0018,0.5,0.4975,0.2761,2.14442,4.22572,1.79875,0.000208805,0.000208805,0.000208805
25,64.6869,0.67947,1.13189,0.96331,0.00185,0.5,0.4975,0.25696,2.23761,4.23236,1.87434,0.000209962,0.000209962,0.000209962
26,66.897,0.83103,1.13183,1.03214,0.00185,0.5,0.4975,0.25696,2.23761,4.23236,1.87434,0.000210459,0.000210459,0.000210459
27,69.1286,0.6595,1.0196,0.98698,0.00263,0.55556,0.49793,0.21136,2.29846,4.06079,1.93614,0.000210295,0.000210295,0.000210295
28,71.5062,0.66005,1.41138,1.04168,0.00263,0.55556,0.49793,0.21136,2.29846,4.06079,1.93614,0.000209472,0.000209472,0.000209472
29,73.9619,0.78271,1.19522,0.99591,0.00265,0.55556,0.49792,0.28197,2.10339,3.94876,1.74513,0.000207988,0.000207988,0.000207988
30,76.5928,0.7236,1.31931,1.10698,0.00265,0.55556,0.49792,0.28197,2.10339,3.94876,1.74513,0.000205844,0.000205844,0.000205844
31,78.8477,0.80643,1.44637,1.08364,0.00265,0.55556,0.49792,0.33977,2.08537,3.97014,1.63355,0.000203041,0.000203041,0.000203041
32,81.0038,0.67517,1.18114,0.96444,0.00265,0.55556,0.49792,0.33977,2.08537,3.97014,1.63355,0.000199577,0.000199577,0.000199577
33,83.3915,0.67952,1.01217,0.95228,0.58881,0.5,0.49844,0.33992,2.07455,3.99645,1.60646,0.000195452,0.000195452,0.000195452
34,85.7192,0.76106,1.11548,1.10808,0.58881,0.5,0.49844,0.33992,2.07455,3.99645,1.60646,0.000190668,0.000190668,0.000190668
35,88.3463,0.80931,1.30205,1.11425,0.71789,0.5,0.49844,0.34826,2.01022,3.88686,1.55069,0.000185224,0.000185224,0.000185224
36,90.7049,0.7394,1.28301,1.2052,0.71789,0.5,0.49844,0.34826,2.01022,3.88686,1.55069,0.000179119,0.000179119,0.000179119
37,93.3399,0.67893,1.03628,1.00486,0.92564,0.5,0.49846,0.35147,2.00231,3.98076,1.52134,0.000172354,0.000172354,0.000172354
38,95.713,0.54057,1.04227,1.00734,0.92564,0.5,0.49846,0.35147,2.00231,3.98076,1.52134,0.00016493,0.00016493,0.00016493
39,98.3311,0.65247,0.97649,0.95671,0.70662,0.5,0.41577,0.31935,1.92485,3.96486,1.49954,0.000156845,0.000156845,0.000156845
40,100.787,0.70656,1.04153,1.11659,0.70662,0.5,0.41577,0.31935,1.92485,3.96486,1.49954,0.0001481,0.0001481,0.0001481
41,103.256,0.7006,1.5702,0.98,0.02261,0.52042,0.41578,0.32365,1.782,3.87711,1.44002,0.000138694,0.000138694,0.000138694
42,105.656,0.66998,1.47622,0.96835,0.02261,0.52042,0.41578,0.32365,1.782,3.87711,1.44002,0.000128629,0.000128629,0.000128629
43,108.122,0.64227,1.39185,0.9075,0.02102,0.51959,0.41578,0.33618,1.71075,3.80841,1.43474,0.000117904,0.000117904,0.000117904
44,110.561,0.64206,1.4063,0.9536,0.02102,0.51959,0.41578,0.33618,1.71075,3.80841,1.43474,0.000106518,0.000106518,0.000106518
45,113.013,0.76115,1.53153,1.02635,0.69322,0.5,0.41577,0.33605,1.64109,3.72463,1.4122,9.44722e-05,9.44722e-05,9.44722e-05
46,115.11,0.87453,1.59324,1.18433,0.69322,0.5,0.41577,0.33605,1.64109,3.72463,1.4122,8.17663e-05,8.17663e-05,8.17663e-05
47,117.04,0.68462,1.45929,1.0025,0.79417,0.5,0.4991,0.38605,1.595,3.67488,1.38787,6.84003e-05,6.84003e-05,6.84003e-05
48,119.114,0.92048,1.63394,1.14383,0.79417,0.5,0.4991,0.38605,1.595,3.67488,1.38787,5.43742e-05,5.43742e-05,5.43742e-05
49,121.639,0.71804,1.35874,0.91114,0.90969,0.5,0.49912,0.39853,1.56212,3.63532,1.3663,3.96879e-05,3.96879e-05,3.96879e-05
50,123.873,0.78508,1.3892,1.00573,0.90969,0.5,0.49912,0.39853,1.56212,3.63532,1.3663,2.43415e-05,2.43415e-05,2.43415e-05
