epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13323,1.20406,3.15863,1.42778,0.00133,0.5,0.15316,0.08505,1.64786,4.62867,1.57173,0,0,0
2,5.72349,0.91971,3.05946,1.24651,0.00133,0.5,0.28321,0.10369,1.65371,4.608,1.56673,1.63399e-05,1.63399e-05,1.63399e-05
3,8.24567,0.98492,3.14607,1.29821,0.00135,0.5,0.28083,0.14481,1.58031,4.43598,1.4782,3.20197e-05,3.20197e-05,3.20197e-05
4,10.9488,0.96478,2.93847,1.30173,0.00137,0.5,0.16221,0.08264,1.39664,4.36187,1.42595,4.70394e-05,4.70394e-05,4.70394e-05
5,13.5953,0.80712,2.9743,1.15549,0.00136,0.5,0.31893,0.18178,1.34735,4.29516,1.40897,6.13989e-05,6.13989e-05,6.13989e-05
6,16.7142,0.64209,2.65908,1.08278,0.00138,0.5,0.31893,0.23929,1.23489,4.28529,1.34119,7.50984e-05,7.50984e-05,7.50984e-05
7,19.5248,0.7626,2.65746,1.1689,0.00141,0.5,0.31,0.26339,1.21198,4.24197,1.31918,8.81376e-05,8.81376e-05,8.81376e-05
8,22.5702,0.62335,2.61078,1.067,0.00142,0.5,0.31893,0.26566,1.36248,4.28647,1.33919,0.000100517,0.000100517,0.000100517
9,25.4498,0.9017,2.48009,1.22357,0.00149,0.5,0.31893,0.25909,1.39838,4.28193,1.36275,0.000112236,0.000112236,0.000112236
10,27.9909,0.77435,2.17849,1.07416,0.00156,0.5,0.33083,0.2704,1.45921,4.30959,1.36872,0.000123295,0.000123295,0.000123295
11,30.5367,0.69014,2.09107,1.0505,0.00161,0.5,0.33083,0.26542,1.62634,4.28027,1.45192,0.000133693,0.000133693,0.000133693
12,32.538,0.66249,1.77865,1.04891,0.00169,0.5,0.31893,0.25893,1.69383,4.20971,1.48042,0.000143432,0.000143432,0.000143432
13,34.5989,0.82685,1.79343,1.05843,0.00183,0.5,0.31893,0.2692,1.68488,4.20068,1.46584,0.00015251,0.00015251,0.00015251
14,36.6716,0.75561,1.5659,1.0809,0.00182,0.5,0.3475,0.30526,1.74835,4.17775,1.49231,0.000160929,0.000160929,0.000160929
15,38.98,0.61288,1.40989,1.02477,0.00186,0.5,0.3725,0.3252,1.70871,4.09426,1.49254,0.000168687,0.000168687,0.000168687
16,41.476,0.60338,1.44335,1.00622,0.00185,0.5,0.4975,0.37696,1.69583,4.07109,1.51021,0.000175785,0.000175785,0.000175785
17,43.9783,0.64375,1.24508,1.04062,0.0019,0.5,0.4975,0.40755,1.78124,4.1237,1.61646,0.000182223,0.000182223,0.000182223
18,46.5249,0.83303,1.46325,1.10434,0.0019,0.5,0.4975,0.40755,1.78124,4.1237,1.61646,0.000188001,0.000188001,0.000188001
19,48.936,0.61991,1.17038,1.04044,0.00186,0.5,0.4975,0.37734,1.83682,4.14994,1.64743,0.000193119,0.000193119,0.000193119
20,51.3667,0.68454,1.27932,1.07745,0.00186,0.5,0.4975,0.37734,1.83682,4.14994,1.64743,0.000197576,0.000197576,0.000197576
21,53.8529,0.74983,1.31063,1.19847,0.0018,0.5,0.4975,0.3109,1.91943,4.18845,1.6883,0.000201374,0.000201374,0.000201374
22,56.3782,0.7177,1.2893,1.0455,0.0018,0.5,0.4975,0.3109,1.91943,4.18845,1.6883,0.000204511,0.000204511,0.000204511
23,59.0361,0.69483,1.10329,0.9742,0.0018,0.5,0.4975,0.2761,2.13482,4.21725,1.79391,0.000206988,0.000206988,0.000206988
24,61.1777,0.79815,1.37257,1.05898,0.0018,0.5,0.4975,0.2761,2.13482,4.21725,1.79391,0.000208805,0.000208805,0.000208805
25,63.5723,0.68141,1.12976,0.96401,0.00187,0.5,0.4975,0.25696,2.24406,4.22983,1.88589,0.000209962,0.000209962,0.000209962
26,66.3328,0.83145,1.13301,1.03247,0.00187,0.5,0.4975,0.25696,2.24406,4.22983,1.88589,0.000210459,0.000210459,0.000210459
27,68.934,0.65898,1.01875,0.98664,0.00264,0.55556,0.41459,0.19053,2.3004,4.05928,1.90833,0.000210295,0.000210295,0.000210295
28,71.7505,0.65921,1.41899,1.04067,0.00264,0.55556,0.41459,0.19053,2.3004,4.05928,1.90833,0.000209472,0.000209472,0.000209472
29,74.398,0.78294,1.19495,0.99555,0.00264,0.55556,0.49792,0.28197,2.1195,3.97007,1.74111,0.000207988,0.000207988,0.000207988
30,77.1016,0.72368,1.32261,1.10684,0.00264,0.55556,0.49792,0.28197,2.1195,3.97007,1.74111,0.000205844,0.000205844,0.000205844
31,79.7134,0.8053,1.44724,1.0839,0.00264,0.55556,0.49792,0.33977,2.08993,3.98087,1.62818,0.000203041,0.000203041,0.000203041
32,82.4439,0.67321,1.18112,0.96402,0.00264,0.55556,0.49792,0.33977,2.08993,3.98087,1.62818,0.000199577,0.000199577,0.000199577
33,85.1246,0.68126,1.01367,0.95257,0.57392,0.5,0.49844,0.33992,2.08103,4.01033,1.61384,0.000195452,0.000195452,0.000195452
34,87.7751,0.75535,1.11475,1.1047,0.57392,0.5,0.49844,0.33992,2.08103,4.01033,1.61384,0.000190668,0.000190668,0.000190668
35,90.2339,0.8054,1.30141,1.11318,0.68583,0.5,0.49845,0.34826,2.01462,3.9224,1.59882,0.000185224,0.000185224,0.000185224
36,93.2603,0.73729,1.28557,1.20089,0.68583,0.5,0.49845,0.34826,2.01462,3.9224,1.59882,0.000179119,0.000179119,0.000179119
37,95.7998,0.67886,1.03408,1.00524,0.70676,0.5,0.49846,0.36064,1.99965,3.99073,1.54187,0.000172354,0.000172354,0.000172354
38,98.2706,0.54129,1.0508,1.00817,0.70676,0.5,0.49846,0.36064,1.99965,3.99073,1.54187,0.00016493,0.00016493,0.00016493
39,100.913,0.6503,0.97726,0.95464,0.06297,0.5,0.41578,0.3235,1.941,3.95281,1.52443,0.000156845,0.000156845,0.000156845
40,103.811,0.70514,1.043,1.11421,0.06297,0.5,0.41578,0.3235,1.941,3.95281,1.52443,0.0001481,0.0001481,0.0001481
41,106.599,0.70065,1.5645,0.97943,0.00412,0.66667,0.41577,0.32817,1.79505,3.87418,1.44639,0.000138694,0.000138694,0.000138694
42,109.046,0.6644,1.48338,0.96796,0.00412,0.66667,0.41577,0.32817,1.79505,3.87418,1.44639,0.000128629,0.000128629,0.000128629
43,111.43,0.64231,1.39208,0.90823,0.00413,0.66667,0.41578,0.3237,1.72847,3.78641,1.45252,0.000117904,0.000117904,0.000117904
44,113.734,0.6409,1.39933,0.95489,0.00413,0.66667,0.41578,0.3237,1.72847,3.78641,1.45252,0.000106518,0.000106518,0.000106518
45,116.138,0.76123,1.53688,1.02708,0.05486,0.5,0.41577,0.33605,1.66033,3.7325,1.42125,9.44722e-05,9.44722e-05,9.44722e-05
46,118.405,0.88602,1.58593,1.1882,0.05486,0.5,0.41577,0.33605,1.66033,3.7325,1.42125,8.17663e-05,8.17663e-05,8.17663e-05
47,120.85,0.67616,1.45111,1.00084,0.74209,0.5,0.49912,0.38606,1.61121,3.68963,1.39391,6.84003e-05,6.84003e-05,6.84003e-05
48,123.33,0.92614,1.63389,1.14867,0.74209,0.5,0.49912,0.38606,1.61121,3.68963,1.39391,5.43742e-05,5.43742e-05,5.43742e-05
49,126.026,0.71694,1.35752,0.90943,0.82487,0.5,0.49912,0.38606,1.57751,3.65076,1.37064,3.96879e-05,3.96879e-05,3.96879e-05
50,128.77,0.7778,1.40448,1.00296,0.82487,0.5,0.49912,0.38606,1.57751,3.65076,1.37064,2.43415e-05,2.43415e-05,2.43415e-05
